"","Style","Artist","Painting","URL"
"39","Ashcan School","William James Glackens ","The Drive, Central Park","https://uploads3.wikiart.org/images/william-james-glackens/the-drive-central-park-1905.jpg!Large.jpg"
"40","Ashcan School","William James Glackens ","Chez Mouquin","https://uploads2.wikiart.org/images/william-james-glackens/chez-mouquin-1905.jpg!Large.jpg"
"41","Ashcan School","John French Sloan ","Monument in the Plaza, New York","https://uploads6.wikiart.org/images/john-french-sloan/monument-in-the-plaza-new-york-1949.jpg!Large.jpg"
"42","Ashcan School","John French Sloan ","Self-portrait","https://uploads7.wikiart.org/images/john-french-sloan/self-portrait-1890.jpg!Large.jpg"
"43","Ashcan School","Edward Hopper ","Male Nude","https://uploads8.wikiart.org/images/edward-hopper/male-nude-1904.jpg!Large.jpg"
"44","Ashcan School","Edward Hopper ","Automat","https://uploads6.wikiart.org/images/edward-hopper/automat-1927.jpg!Large.jpg"
"45","Ashcan School","George Bellows ","Stag at Sharkey's","https://uploads8.wikiart.org/images/george-bellows/stag-at-sharkey-s-1909.jpg!Large.jpg"
"46","Ashcan School","George Bellows ","The Big Dory","https://uploads3.wikiart.org/images/george-bellows/the-big-dory-1913.jpg!Large.jpg"
"47","Naive Art (Primitivism)","Joshua Johnson ","Mrs. John Moale (Ellin North) and Ellin North Moale","https://uploads3.wikiart.org/images/joshua-johnson/mrs-john-moale-ellin-north-and-ellin-north-moale-1800.jpg!Large.jpg"
"48","Naive Art (Primitivism)","Joshua Johnson ","Grace Allison McCurdy and Her Daughters","https://uploads3.wikiart.org/images/joshua-johnson/grace-allison-mccurdy-and-her-daughters-1804.jpg!Large.jpg"
"49","Naive Art (Primitivism)","Edward Hicks ","Peaceable Kingdom","https://uploads6.wikiart.org/images/edward-hicks/peaceable-kingdom-1833.jpg!Large.jpg"
"50","Naive Art (Primitivism)","Edward Hicks ","Peaceable Kingdom","https://uploads6.wikiart.org/images/edward-hicks/peaceable-kingdom-1825.jpg!Large.jpg"
"51","Naive Art (Primitivism)","John Bradley ","The Cellist","https://uploads0.wikiart.org/images/john-bradley/the-cellist-1832.jpg!Large.jpg"
"52","Naive Art (Primitivism)","John Bradley ","Little Girl in Lavender","https://uploads3.wikiart.org/images/john-bradley/little-girl-in-lavender-1840.jpg!Large.jpg"
"53","Naive Art (Primitivism)","Henri Rousseau ","Carnival Evening","https://uploads7.wikiart.org/images/henri-rousseau/carnival-evening-1886.jpg!Large.jpg"
"54","Naive Art (Primitivism)","Henri Rousseau ","Tiger in a Tropical Storm (Surprised!)","https://uploads8.wikiart.org/images/henri-rousseau/tiger-in-a-tropical-storm-surprised-1891.jpg!Large.jpg"
"55","Naive Art (Primitivism)","Alfred Wallis ","Three-Masted Ship near Lighthouse","https://uploads5.wikiart.org/images/alfred-wallis/three-masted-ship-near-lighthouse-1930.jpg!Large.jpg"
"56","Naive Art (Primitivism)","Alfred Wallis ","St Ives","https://uploads5.wikiart.org/images/alfred-wallis/st-ives-1928.jpg"
"57","Naive Art (Primitivism)","Grandma Moses ","A Tramp on Christmas Day","https://uploads4.wikiart.org/images/grandma-moses/a-tramp-on-christmas-day-1946.jpg"
"58","Naive Art (Primitivism)","Grandma Moses ","Apple Butter Making","https://uploads3.wikiart.org/images/grandma-moses/apple-butter-making-1947(1).jpg!Large.jpg"
"59","Social Realism","Luke Fildes ","the Empty Chair","https://uploads4.wikiart.org/00128/images/luke-fildes/samuel-luke-fildes-the-empty-chair-engraving-of-a-water-color-the-graphic-1870.jpg"
"60","Social Realism","Luke Fildes ","The Doctor.","https://uploads8.wikiart.org/00128/images/luke-fildes/the-doctor.png"
"61","Social Realism","Laura Knight","Ruby Loftus screwing a Breech-ring","https://uploads5.wikiart.org/images/laura-knight/ruby-loftus-screwing-a-breech-ring-1943.jpg!Large.jpg"
"62","Social Realism","Laura Knight","Corporal J. M. Robins, Women's Auxiliary Air Force","https://uploads0.wikiart.org/images/laura-knight/corporal-j-m-robins-women-s-auxiliary-air-force-1941.jpg!Large.jpg"
"63","Social Realism","Hans Andersen Brendekilde ","Worn Out","https://uploads0.wikiart.org/00261/images/hans-andersen-brendekilde/h-a-brendekilde-udslidt-1889.jpg!Large.jpg"
